id,STATISTIC Label,TLIST(A1),Year,C03151V03803,Type of dwelling,C03440V04149,Energy rating,UNIT,VALUE
DBERNG01,Mean Gas Consumption,2019,2019,01,Apartment,08,D,Mean kilowatt hours,8434
DBERNG01,Mean Gas Consumption,2019,2019,01,Apartment,09,E,Mean kilowatt hours,8331
DBERNG01,Mean Gas Consumption,2019,2019,01,Apartment,10,F- G,Mean kilowatt hours,8795
DBERNG01,Mean Gas Consumption,2019,2019,01,Apartment,-,All BER ratings,Mean kilowatt hours,8451
DBERNG01,Mean Gas Consumption,2019,2019,11,Mid-terrace house,13,A - B,Mean kilowatt hours,8592
DBERNG01,Mean Gas Consumption,2019,2019,11,Mid-terrace house,07,C,Mean kilowatt hours,8532
DBERNG01,Mean Gas Consumption,2019,2019,11,Mid-terrace house,08,D,Mean kilowatt hours,9204
DBERNG01,Mean Gas Consumption,2019,2019,11,Mid-terrace house,09,E,Mean kilowatt hours,9408
DBERNG01,Mean Gas Consumption,2019,2019,11,Mid-terrace house,10,F- G,Mean kilowatt hours,8779
DBERNG01,Mean Gas Consumption,2019,2019,11,Mid-terrace house,-,All BER ratings,Mean kilowatt hours,8793
DBERNG01,Mean Gas Consumption,2019,2019,10,End of terrace house,13,A - B,Mean kilowatt hours,10104
DBERNG01,Mean Gas Consumption,2019,2019,10,End of terrace house,07,C,Mean kilowatt hours,9575
DBERNG01,Mean Gas Consumption,2019,2019,10,End of terrace house,08,D,Mean kilowatt hours,9970
DBERNG01,Mean Gas Consumption,2019,2019,10,End of terrace house,09,E,Mean kilowatt hours,10308
DBERNG01,Mean Gas Consumption,2019,2019,10,End of terrace house,10,F- G,Mean kilowatt hours,9991
DBERNG01,Mean Gas Consumption,2019,2019,10,End of terrace house,-,All BER ratings,Mean kilowatt hours,9834
DBERNG01,Mean Gas Consumption,2019,2019,09,Semi-detached house,13,A - B,Mean kilowatt hours,11187
DBERNG01,Mean Gas Consumption,2019,2019,09,Semi-detached house,07,C,Mean kilowatt hours,10895
DBERNG01,Mean Gas Consumption,2019,2019,09,Semi-detached house,08,D,Mean kilowatt hours,11440
DBERNG01,Mean Gas Consumption,2019,2019,09,Semi-detached house,09,E,Mean kilowatt hours,12600
DBERNG01,Mean Gas Consumption,2019,2019,09,Semi-detached house,10,F- G,Mean kilowatt hours,12209
DBERNG01,Mean Gas Consumption,2019,2019,09,Semi-detached house,-,All BER ratings,Mean kilowatt hours,11264
DBERNG01,Mean Gas Consumption,2019,2019,08,Detached house,13,A - B,Mean kilowatt hours,16841
DBERNG01,Mean Gas Consumption,2019,2019,08,Detached house,07,C,Mean kilowatt hours,15528
DBERNG01,Mean Gas Consumption,2019,2019,08,Detached house,08,D,Mean kilowatt hours,14913
DBERNG01,Mean Gas Consumption,2019,2019,08,Detached house,09,E,Mean kilowatt hours,16269
DBERNG01,Mean Gas Consumption,2019,2019,08,Detached house,10,F- G,Mean kilowatt hours,15255
DBERNG01,Mean Gas Consumption,2019,2019,08,Detached house,-,All BER ratings,Mean kilowatt hours,15707
DBERNG01,Mean Gas Consumption,2019,2019,-,All dwellings,13,A - B,Mean kilowatt hours,11289
DBERNG01,Mean Gas Consumption,2019,2019,-,All dwellings,07,C,Mean kilowatt hours,10723
DBERNG01,Mean Gas Consumption,2019,2019,-,All dwellings,08,D,Mean kilowatt hours,11018
DBERNG01,Mean Gas Consumption,2019,2019,-,All dwellings,09,E,Mean kilowatt hours,11492
DBERNG01,Mean Gas Consumption,2019,2019,-,All dwellings,10,F- G,Mean kilowatt hours,10794
DBERNG01,Mean Gas Consumption,2019,2019,-,All dwellings,-,All BER ratings,Mean kilowatt hours,
DBERNG01,Mean Gas Consumption,2020,2020,01,Apartment,13,A - B,Mean kilowatt hours,8651
DBERNG01,Mean Gas Consumption,2020,2020,01,Apartment,07,C,Mean kilowatt hours,8794
DBERNG01,Mean Gas Consumption,2020,2020,01,Apartment,08,D,Mean kilowatt hours,8565
DBERNG01,Mean Gas Consumption,2020,2020,01,Apartment,09,E,Mean kilowatt hours,8723
DBERNG01,Mean Gas Consumption,2020,2020,01,Apartment,10,F- G,Mean kilowatt hours,9059
DBERNG01,Mean Gas Consumption,2020,2020,01,Apartment,-,All BER ratings,Mean kilowatt hours,8731
DBERNG01,Mean Gas Consumption,2020,2020,11,Mid-terrace house,13,A - B,Mean kilowatt hours,9054
DBERNG01,Mean Gas Consumption,2020,2020,11,Mid-terrace house,07,C,Mean kilowatt hours,8956
DBERNG01,Mean Gas Consumption,2020,2020,11,Mid-terrace house,08,D,Mean kilowatt hours,9489
DBERNG01,Mean Gas Consumption,2020,2020,11,Mid-terrace house,09,E,Mean kilowatt hours,9667
DBERNG01,Mean Gas Consumption,2020,2020,11,Mid-terrace house,10,F- G,Mean kilowatt hours,9097
DBERNG01,Mean Gas Consumption,2020,2020,11,Mid-terrace house,-,All BER ratings,Mean kilowatt hours,9169
DBERNG01,Mean Gas Consumption,2020,2020,10,End of terrace house,13,A - B,Mean kilowatt hours,10518
DBERNG01,Mean Gas Consumption,2020,2020,10,End of terrace house,07,C,Mean kilowatt hours,9973
DBERNG01,Mean Gas Consumption,2020,2020,10,End of terrace house,08,D,Mean kilowatt hours,10388
DBERNG01,Mean Gas Consumption,2020,2020,10,End of terrace house,09,E,Mean kilowatt hours,10701
DBERNG01,Mean Gas Consumption,2020,2020,10,End of terrace house,10,F- G,Mean kilowatt hours,10179
DBERNG01,Mean Gas Consumption,2020,2020,10,End of terrace house,-,All BER ratings,Mean kilowatt hours,10219
DBERNG01,Mean Gas Consumption,2020,2020,09,Semi-detached house,13,A - B,Mean kilowatt hours,11863
DBERNG01,Mean Gas Consumption,2020,2020,09,Semi-detached house,07,C,Mean kilowatt hours,11487
DBERNG01,Mean Gas Consumption,2020,2020,09,Semi-detached house,08,D,Mean kilowatt hours,12109
DBERNG01,Mean Gas Consumption,2020,2020,09,Semi-detached house,09,E,Mean kilowatt hours,13231
DBERNG01,Mean Gas Consumption,2020,2020,09,Semi-detached house,10,F- G,Mean kilowatt hours,12605
DBERNG01,Mean Gas Consumption,2020,2020,09,Semi-detached house,-,All BER ratings,Mean kilowatt hours,11879
DBERNG01,Mean Gas Consumption,2020,2020,08,Detached house,13,A - B,Mean kilowatt hours,17400
DBERNG01,Mean Gas Consumption,2020,2020,08,Detached house,07,C,Mean kilowatt hours,16147
DBERNG01,Mean Gas Consumption,2020,2020,08,Detached house,08,D,Mean kilowatt hours,15520
DBERNG01,Mean Gas Consumption,2020,2020,08,Detached house,09,E,Mean kilowatt hours,16518
DBERNG01,Mean Gas Consumption,2020,2020,08,Detached house,10,F- G,Mean kilowatt hours,15741
DBERNG01,Mean Gas Consumption,2020,2020,08,Detached house,-,All BER ratings,Mean kilowatt hours,16287
DBERNG01,Mean Gas Consumption,2020,2020,-,All dwellings,13,A - B,Mean kilowatt hours,11843
DBERNG01,Mean Gas Consumption,2020,2020,-,All dwellings,07,C,Mean kilowatt hours,11241
DBERNG01,Mean Gas Consumption,2020,2020,-,All dwellings,08,D,Mean kilowatt hours,11536
DBERNG01,Mean Gas Consumption,2020,2020,-,All dwellings,09,E,Mean kilowatt hours,11925
DBERNG01,Mean Gas Consumption,2020,2020,-,All dwellings,10,F- G,Mean kilowatt hours,11128
DBERNG01,Mean Gas Consumption,2020,2020,-,All dwellings,-,All BER ratings,Mean kilowatt hours,
DBERNG01,Mean Gas Consumption,2021,2021,01,Apartment,13,A - B,Mean kilowatt hours,8474
DBERNG01,Mean Gas Consumption,2021,2021,01,Apartment,07,C,Mean kilowatt hours,8642
DBERNG01,Mean Gas Consumption,2021,2021,01,Apartment,08,D,Mean kilowatt hours,8515
DBERNG01,Mean Gas Consumption,2021,2021,01,Apartment,09,E,Mean kilowatt hours,8837
DBERNG01,Mean Gas Consumption,2021,2021,01,Apartment,10,F- G,Mean kilowatt hours,8926
DBERNG01,Mean Gas Consumption,2021,2021,01,Apartment,-,All BER ratings,Mean kilowatt hours,8610
DBERNG01,Mean Gas Consumption,2021,2021,11,Mid-terrace house,13,A - B,Mean kilowatt hours,8811
DBERNG01,Mean Gas Consumption,2021,2021,11,Mid-terrace house,07,C,Mean kilowatt hours,8759
DBERNG01,Mean Gas Consumption,2021,2021,11,Mid-terrace house,08,D,Mean kilowatt hours,9331
DBERNG01,Mean Gas Consumption,2021,2021,11,Mid-terrace house,09,E,Mean kilowatt hours,9572
DBERNG01,Mean Gas Consumption,2021,2021,11,Mid-terrace house,10,F- G,Mean kilowatt hours,8954
DBERNG01,Mean Gas Consumption,2021,2021,11,Mid-terrace house,-,All BER ratings,Mean kilowatt hours,8987
DBERNG01,Mean Gas Consumption,2021,2021,10,End of terrace house,13,A - B,Mean kilowatt hours,10333
DBERNG01,Mean Gas Consumption,2021,2021,10,End of terrace house,07,C,Mean kilowatt hours,9792
DBERNG01,Mean Gas Consumption,2021,2021,10,End of terrace house,08,D,Mean kilowatt hours,10158
DBERNG01,Mean Gas Consumption,2021,2021,10,End of terrace house,09,E,Mean kilowatt hours,10553
DBERNG01,Mean Gas Consumption,2021,2021,10,End of terrace house,10,F- G,Mean kilowatt hours,10167
DBERNG01,Mean Gas Consumption,2021,2021,10,End of terrace house,-,All BER ratings,Mean kilowatt hours,10044
DBERNG01,Mean Gas Consumption,2021,2021,09,Semi-detached house,13,A - B,Mean kilowatt hours,11435
DBERNG01,Mean Gas Consumption,2021,2021,09,Semi-detached house,07,C,Mean kilowatt hours,11208
DBERNG01,Mean Gas Consumption,2021,2021,09,Semi-detached house,08,D,Mean kilowatt hours,11848
DBERNG01,Mean Gas Consumption,2021,2021,09,Semi-detached house,09,E,Mean kilowatt hours,12666
DBERNG01,Mean Gas Consumption,2021,2021,09,Semi-detached house,10,F- G,Mean kilowatt hours,12213
DBERNG01,Mean Gas Consumption,2021,2021,09,Semi-detached house,-,All BER ratings,Mean kilowatt hours,11558
DBERNG01,Mean Gas Consumption,2021,2021,08,Detached house,13,A - B,Mean kilowatt hours,17176
DBERNG01,Mean Gas Consumption,2021,2021,08,Detached house,07,C,Mean kilowatt hours,15896
DBERNG01,Mean Gas Consumption,2021,2021,08,Detached house,08,D,Mean kilowatt hours,15238
DBERNG01,Mean Gas Consumption,2021,2021,08,Detached house,09,E,Mean kilowatt hours,16244
DBERNG01,Mean Gas Consumption,2021,2021,08,Detached house,10,F- G,Mean kilowatt hours,15092
DBERNG01,Mean Gas Consumption,2021,2021,08,Detached house,-,All BER ratings,Mean kilowatt hours,16020
DBERNG01,Mean Gas Consumption,2021,2021,-,All dwellings,13,A - B,Mean kilowatt hours,11543
DBERNG01,Mean Gas Consumption,2021,2021,-,All dwellings,07,C,Mean kilowatt hours,11003
DBERNG01,Mean Gas Consumption,2021,2021,-,All dwellings,08,D,Mean kilowatt hours,11309
DBERNG01,Mean Gas Consumption,2021,2021,-,All dwellings,09,E,Mean kilowatt hours,11612
DBERNG01,Mean Gas Consumption,2021,2021,-,All dwellings,10,F- G,Mean kilowatt hours,10888
DBERNG01,Mean Gas Consumption,2021,2021,-,All dwellings,-,All BER ratings,Mean kilowatt hours,
DBERNG01,Mean Gas Consumption,2022,2022,01,Apartment,13,A - B,Mean kilowatt hours,7242
DBERNG01,Mean Gas Consumption,2022,2022,01,Apartment,07,C,Mean kilowatt hours,7539
DBERNG01,Mean Gas Consumption,2022,2022,01,Apartment,08,D,Mean kilowatt hours,7410
DBERNG01,Mean Gas Consumption,2022,2022,01,Apartment,09,E,Mean kilowatt hours,7677
DBERNG01,Mean Gas Consumption,2022,2022,01,Apartment,10,F- G,Mean kilowatt hours,7910
DBERNG01,Mean Gas Consumption,2022,2022,01,Apartment,-,All BER ratings,Mean kilowatt hours,7480
